id,scheduled_time,departure_icao,arrival_icao,delay_in_minutes,flight_status,airline,flight_number,departure_wind,departure_visibility,departure_sky_condition,departure_temperature,departure_altimeter,destination_wind,destination_visibility,destination_sky_condition,destination_temperature,destination_altimeter
27,2025-01-02T06:00:00.000,kmco,kfll,0,active,fedex,1409,35007KT,10SM,FEW300,11/07,3022.0,33005KT,10SM,CLR,18/15,3012.0
75,2025-01-07T17:05:00.000,kfll,kmco,21,active,copa airlines,5076,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
77,2025-01-07T17:05:00.000,kfll,kmco,21,active,united airlines,3076,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
79,2025-01-07T17:05:00.000,kfll,kmco,21,active,silver airways,76,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
80,2025-01-07T21:12:00.000,kfll,kmco,27,active,spirit airlines,676,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
82,2025-01-08T07:30:00.000,kfll,kmco,6,active,azul,6967,32008KT,10SM,CLR,10/07,3015.0,34011KT,10SM,CLR,07/M01,3024.0
84,2025-01-08T07:30:00.000,kfll,kmco,6,active,jetblue airways,5467,32008KT,10SM,CLR,10/07,3015.0,34011KT,10SM,CLR,07/M01,3024.0
85,2025-01-08T07:30:00.000,kfll,kmco,6,active,copa airlines,5067,32008KT,10SM,CLR,10/07,3015.0,34011KT,10SM,CLR,07/M01,3024.0
87,2025-01-08T07:30:00.000,kfll,kmco,6,active,united airlines,3067,32008KT,10SM,CLR,10/07,3015.0,34011KT,10SM,CLR,07/M01,3024.0
89,2025-01-08T07:30:00.000,kfll,kmco,6,active,silver airways,67,32008KT,10SM,CLR,10/07,3015.0,34011KT,10SM,CLR,07/M01,3024.0
90,2025-01-08T08:25:00.000,kfll,kmco,7,active,southwest airlines,724,32006KT,10SM,FEW030,09/07,3015.0,35010KT,10SM,CLR,06/00,3023.0
92,2025-01-08T17:05:00.000,kfll,kmco,17,active,azul,6976,34008KT,10SM,FEW045,18/11,3015.0,35007KT,10SM,BKN200,13/01,3023.0
94,2025-01-08T17:05:00.000,kfll,kmco,17,active,jetblue airways,5476,34008KT,10SM,FEW045,18/11,3015.0,35007KT,10SM,BKN200,13/01,3023.0
97,2025-01-08T17:05:00.000,kfll,kmco,17,active,copa airlines,5076,34008KT,10SM,FEW045,18/11,3015.0,35007KT,10SM,BKN200,13/01,3023.0
98,2025-01-08T17:05:00.000,kfll,kmco,17,active,united airlines,3076,34008KT,10SM,FEW045,18/11,3015.0,35007KT,10SM,BKN200,13/01,3023.0
100,2025-01-08T17:05:00.000,kfll,kmco,17,active,silver airways,76,34008KT,10SM,FEW045,18/11,3015.0,35007KT,10SM,BKN200,13/01,3023.0
102,2025-01-07T20:05:00.000,kfll,kmco,34,active,southwest airlines,8513,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
103,2025-01-08T12:45:00.000,kfll,kmco,0,active,southwest airlines,8601,33007KT,10SM,BKN010,09/07,3016.0,34007KT,10SM,SCT044,07/01,3023.0
105,2025-01-08T09:45:00.000,kfll,kmco,65,active,spirit airlines,8884,32006KT,10SM,CLR,09/07,3015.0,35010KT,10SM,CLR,06/01,3023.0
107,2025-01-08T21:12:00.000,kfll,kmco,37,active,spirit airlines,676,VRB03KT,10SM,SCT033,21/13,3007.0,31006KT,10SM,FEW190,16/M02,3013.0
109,2025-01-09T07:00:00.000,kfll,kmco,6,active,spirit airlines,203,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
111,2025-01-09T07:30:00.000,kfll,kmco,1,active,azul,6967,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
113,2025-01-09T07:30:00.000,kfll,kmco,1,active,jetblue airways,5467,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
115,2025-01-09T07:30:00.000,kfll,kmco,1,active,copa airlines,5067,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
118,2025-01-09T07:30:00.000,kfll,kmco,1,active,united airlines,3067,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
120,2025-01-09T07:30:00.000,kfll,kmco,1,active,silver airways,67,32007KT,10SM,CLR,12/06,3008.0,32010KT,10SM,CLR,07/01,3015.0
122,2025-01-09T08:25:00.000,kfll,kmco,17,active,southwest airlines,724,32008G16KT,10SM,FEW043,11/06,3008.0,32009KT,10SM,CLR,07/M02,3015.0
124,2025-01-09T17:05:00.000,kfll,kmco,13,active,azul,6976,34011KT,10SM,FEW040,14/M02,3016.0,01013G18KT,10SM,CLR,10/M01,3023.0
126,2025-01-09T17:05:00.000,kfll,kmco,13,active,jetblue airways,5476,34011KT,10SM,FEW040,14/M02,3016.0,01013G18KT,10SM,CLR,10/M01,3023.0
128,2025-01-09T17:05:00.000,kfll,kmco,13,active,copa airlines,5076,34011KT,10SM,FEW040,14/M02,3016.0,01013G18KT,10SM,CLR,10/M01,3023.0
130,2025-01-09T17:05:00.000,kfll,kmco,13,active,united airlines,3076,34011KT,10SM,FEW040,14/M02,3016.0,01013G18KT,10SM,CLR,10/M01,3023.0
132,2025-01-09T17:05:00.000,kfll,kmco,13,active,silver airways,76,34011KT,10SM,FEW040,14/M02,3016.0,01013G18KT,10SM,CLR,10/M01,3023.0
133,2025-01-09T16:06:00.000,kfll,kmco,0,active,netjets aviation,776,34011KT,10SM,FEW040,14/M02,3016.0,35012KT,10SM,CLR,08/M03,3025.0
2,2025-01-01T08:51:00.000,kfll,kmco,9,active,spirit airlines,196,23004KT,10SM,FEW250,23/21,3000.0,22005KT,10SM,FEW025,19/18,2999.0
3,2025-01-01T10:50:00.000,kfll,kmco,23,active,southwest airlines,411,31004KT,10SM,SCT027,21/19,3000.0,22005KT,10SM,FEW025,19/18,2999.0
4,2025-01-01T14:00:00.000,kfll,kmco,10,active,silver airways,9004,31006KT,10SM,BKN008,20/19,3004.0,35008KT,10SM,SCT014,18/16,3008.0
5,2025-01-01T21:12:00.000,kfll,kmco,21,active,spirit airlines,676,29006KT,10SM,BKN250,26/14,3004.0,28007KT,10SM,BKN300,23/07,3008.0
6,2025-01-02T08:51:00.000,kfll,kmco,15,active,spirit airlines,196,34006KT,10SM,CLR,18/14,3012.0,36009KT,10SM,FEW300,11/06,3022.0
7,2025-01-02T12:10:00.000,kfll,kmco,17,active,southwest airlines,2984,34009KT,10SM,SCT250,17/13,3015.0,35007KT,10SM,SCT300,09/06,3024.0
8,2025-01-02T21:12:00.000,kfll,kmco,48,active,spirit airlines,676,34009KT,10SM,SCT250,17/13,3015.0,01003KT,10SM,BKN300,19/04,3023.0
9,2025-01-03T06:00:00.000,kfll,kmco,6,active,southwest airlines,150,34009KT,10SM,SCT250,17/13,3015.0,36004KT,10SM,FEW300,09/07,3028.0
10,2025-01-03T08:51:00.000,kfll,kmco,14,active,spirit airlines,196,34006KT,10SM,FEW036,16/14,3017.0,01005KT,10SM,SCT300,08/06,3027.0
11,2025-01-02T19:01:00.000,kfll,kmco,10,active,silver airways,9002,34009KT,10SM,SCT250,17/13,3015.0,35006KT,10SM,BKN300,19/06,3022.0
12,2025-01-02T23:00:00.000,kfll,kmco,70,active,csi aviation,532,34009KT,10SM,SCT250,17/13,3015.0,02007KT,10SM,BKN300,16/04,3024.0
13,2025-01-03T21:12:00.000,kfll,kmco,20,active,spirit airlines,676,32005KT,10SM,FEW034,16/13,3019.0,32010KT,10SM,FEW300,19/M01,3021.0
14,2025-01-04T08:51:00.000,kfll,kmco,33,active,spirit airlines,196,32006KT,10SM,FEW250,13/06,3019.0,31006KT,10SM,CLR,09/07,3026.0
15,2025-01-04T09:55:00.000,kfll,kmco,41,active,southwest airlines,527,33009KT,10SM,FEW250,12/06,3019.0,34012KT,10SM,CLR,11/04,3027.0
16,2025-01-04T06:20:00.000,kfll,kmco,10,active,silver airways,9002,29004KT,10SM,SCT250,14/05,3020.0,23004KT,10SM,CLR,09/06,3025.0
17,2025-01-04T21:12:00.000,kfll,kmco,30,active,spirit airlines,676,02010G20KT,10SM,FEW250,22/11,3019.0,01005KT,10SM,FEW250,18/M03,3026.0
18,2025-01-05T08:51:00.000,kfll,kmco,24,active,spirit airlines,196,34005KT,10SM,CLR,13/10,3020.0,36005KT,10SM,CLR,07/04,
19,2025-01-05T12:10:00.000,kfll,kmco,34,active,southwest airlines,2984,30003KT,10SM,SCT040,13/11,3022.0,36005KT,10SM,FEW250,07/02,3025.0
21,2025-01-04T23:45:00.000,kfll,kmco,42,active,jetblue airways,8370,02010G20KT,10SM,FEW250,22/11,3019.0,02006KT,10SM,FEW250,13/M02,3027.0
