city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
New York City,2020-01-01,3.6,1.7,5.0,0.0,0.0,264.0,17.3,NULL,1008.2,NULL
New York City,2020-01-02,4.7,0.6,8.9,0.0,0.0,218.0,12.4,NULL,1013.9,NULL
New York City,2020-01-03,7.6,6.7,8.3,2.8,0.0,257.0,8.4,NULL,1010.2,NULL
New York City,2020-01-04,8.2,6.7,9.4,5.3,0.0,325.0,5.7,NULL,1003.7,NULL
New York City,2020-01-05,4.6,2.8,7.2,0.0,0.0,300.0,8.2,NULL,1010.1,NULL
New York City,2020-01-06,4.0,0.6,7.2,0.8,30.0,256.0,15.9,NULL,1015.3,NULL
New York City,2020-01-07,4.7,3.3,6.7,0.0,0.0,286.0,10.4,NULL,1016.2,NULL
New York City,2020-01-08,2.6,-0.6,6.7,0.0,0.0,269.0,13.4,NULL,1016.6,NULL
New York City,2020-01-09,-0.6,-3.3,2.2,0.0,0.0,300.0,9.1,NULL,1038.8,NULL
New York City,2020-01-10,6.4,1.1,11.7,0.0,0.0,265.0,14.5,NULL,1034.5,NULL
New York City,2020-01-11,14.6,11.1,18.3,0.0,0.0,192.0,13.3,NULL,1023.3,NULL
New York City,2020-01-12,15.7,9.4,19.4,1.0,0.0,247.0,15.5,NULL,1018.1,NULL
New York City,2020-01-13,6.1,1.7,7.8,0.0,0.0,13.0,10.4,NULL,1029.0,NULL
New York City,2020-01-14,6.3,5.0,7.8,0.5,0.0,38.0,9.9,NULL,1025.3,NULL
New York City,2020-01-15,8.2,6.1,11.7,0.0,0.0,286.0,9.0,NULL,1020.9,NULL
New York City,2020-01-16,6.7,2.2,10.0,1.3,0.0,274.0,10.6,NULL,1015.1,NULL
New York City,2020-01-17,-1.2,-3.9,2.2,0.0,0.0,321.0,8.8,NULL,1034.7,NULL
New York City,2020-01-18,-2.2,-5.0,2.8,7.9,0.0,213.0,10.2,NULL,1028.5,NULL
New York City,2020-01-19,4.0,0.6,7.2,0.0,0.0,269.0,10.2,NULL,1008.9,NULL
New York City,2020-01-20,-1.7,-5.0,2.8,0.0,0.0,328.0,9.1,NULL,1024.2,NULL
New York City,2020-01-21,-1.5,-4.4,3.3,0.0,0.0,324.0,8.9,NULL,1030.8,NULL
New York City,2020-01-22,1.0,-2.2,5.6,0.0,0.0,286.0,8.1,NULL,1031.3,NULL
New York City,2020-01-23,3.5,0.0,7.2,0.0,0.0,264.0,7.5,NULL,1029.4,NULL
New York City,2020-01-24,6.5,3.3,11.7,0.0,0.0,32.0,10.6,NULL,1027.4,NULL
New York City,2020-01-25,6.6,4.4,10.0,22.4,0.0,23.0,22.9,NULL,1014.5,NULL
New York City,2020-01-26,5.5,3.3,8.9,0.0,0.0,260.0,14.9,NULL,1009.3,NULL
New York City,2020-01-27,5.1,3.3,8.3,0.0,0.0,257.0,14.7,NULL,1006.6,NULL
New York City,2020-01-28,4.9,3.9,7.2,0.0,0.0,306.0,6.3,NULL,1010.2,NULL
New York City,2020-01-29,3.5,1.1,7.2,0.0,0.0,338.0,7.8,NULL,1018.2,NULL
New York City,2020-01-30,1.3,-1.7,4.4,0.0,0.0,26.0,10.7,NULL,1026.3,NULL
New York City,2020-01-31,4.3,2.2,6.1,0.5,0.0,43.0,7.5,NULL,1026.0,NULL
New York City,2020-02-01,4.8,3.9,6.1,0.0,0.0,272.0,8.7,NULL,1013.5,NULL
New York City,2020-02-02,3.9,2.2,6.1,2.3,0.0,252.0,12.7,NULL,1002.2,NULL
New York City,2020-02-03,8.0,2.8,13.9,0.0,0.0,247.0,10.8,NULL,1009.1,NULL
New York City,2020-02-04,9.5,6.1,13.9,0.0,0.0,326.0,7.3,NULL,1009.4,NULL
New York City,2020-02-05,6.0,4.4,10.6,0.5,0.0,5.0,10.0,NULL,1015.5,NULL
New York City,2020-02-06,4.7,3.3,5.6,15.7,0.0,41.0,17.9,NULL,1003.7,NULL
New York City,2020-02-07,5.5,1.7,12.2,7.1,0.0,326.0,20.6,NULL,991.2,NULL
New York City,2020-02-08,2.6,0.0,6.1,0.0,0.0,264.0,14.2,NULL,1020.5,NULL
New York City,2020-02-09,4.1,1.1,7.2,0.0,0.0,30.0,14.0,NULL,1031.5,NULL
New York City,2020-02-10,6.4,5.6,7.8,8.9,0.0,243.0,13.6,NULL,1022.3,NULL
New York City,2020-02-11,7.6,6.1,9.4,7.4,0.0,345.0,4.7,NULL,1013.8,NULL
New York City,2020-02-12,5.9,4.4,8.3,4.8,0.0,261.0,9.0,NULL,1020.3,NULL
New York City,2020-02-13,4.7,2.8,6.1,6.9,0.0,310.0,6.4,NULL,1007.8,NULL
New York City,2020-02-14,0.8,-5.6,4.4,0.0,0.0,310.0,9.6,NULL,1024.9,NULL
New York City,2020-02-15,-3.4,-7.2,0.0,0.0,0.0,285.0,11.9,NULL,1035.1,NULL
New York City,2020-02-16,2.9,-1.1,7.8,0.0,0.0,256.0,12.1,NULL,1022.5,NULL
New York City,2020-02-17,6.9,3.9,11.1,0.0,0.0,356.0,8.7,NULL,1024.2,NULL
New York City,2020-02-18,6.1,3.9,8.9,0.0,0.0,44.0,15.8,NULL,1022.8,NULL
New York City,2020-02-19,7.1,2.2,11.1,0.0,0.0,310.0,7.4,NULL,1023.0,NULL
New York City,2020-02-20,1.0,-1.7,2.8,0.0,0.0,313.0,9.4,NULL,1030.8,NULL
New York City,2020-02-21,-0.6,-3.9,3.3,0.0,0.0,310.0,12.4,NULL,1031.4,NULL
New York City,2020-02-22,4.4,-0.6,10.6,0.0,0.0,259.0,17.4,NULL,1024.6,NULL
New York City,2020-02-23,7.6,2.2,13.9,0.0,0.0,233.0,10.6,NULL,1021.8,NULL
New York City,2020-02-24,8.7,4.4,16.7,0.0,0.0,270.0,6.6,NULL,1017.0,NULL
New York City,2020-02-25,8.5,7.2,9.4,4.1,0.0,311.0,6.3,NULL,1012.2,NULL
New York City,2020-02-26,7.8,7.2,8.3,0.3,0.0,49.0,14.9,NULL,1012.0,NULL
New York City,2020-02-27,4.9,0.6,7.2,8.1,0.0,280.0,28.9,NULL,1001.2,NULL
New York City,2020-02-28,2.1,-1.1,5.6,0.0,0.0,262.0,28.0,NULL,1010.7,NULL
New York City,2020-02-29,0.4,-1.7,3.3,0.0,0.0,283.0,12.5,NULL,1012.8,NULL
New York City,2020-03-01,2.4,-2.8,8.9,0.0,0.0,273.0,10.2,NULL,1020.5,NULL
New York City,2020-03-02,9.1,3.9,14.4,0.0,0.0,184.0,10.4,NULL,1015.0,NULL
New York City,2020-03-03,10.9,8.9,13.3,6.1,0.0,194.0,9.6,NULL,1004.3,NULL
New York City,2020-03-04,10.2,7.2,13.9,0.0,0.0,266.0,19.5,NULL,1007.3,NULL
New York City,2020-03-05,7.6,4.4,12.2,0.0,0.0,307.0,7.9,NULL,1018.8,NULL
New York City,2020-03-06,5.5,3.9,7.8,9.1,0.0,30.0,13.1,NULL,1012.8,NULL
New York City,2020-03-07,5.9,3.3,11.1,0.0,0.0,330.0,7.8,NULL,1021.9,NULL
New York City,2020-03-08,8.0,2.2,15.0,0.0,0.0,246.0,13.6,NULL,1030.0,NULL
New York City,2020-03-09,13.4,6.7,21.7,0.0,0.0,264.0,15.1,NULL,1027.1,NULL
New York City,2020-03-10,14.5,11.1,17.2,0.0,0.0,267.0,17.5,NULL,1018.5,NULL
New York City,2020-03-11,10.8,7.0,14.4,0.0,0.0,3.0,11.2,NULL,1018.4,NULL
New York City,2020-03-12,8.2,6.7,8.9,0.3,0.0,43.0,11.1,NULL,1020.7,NULL
New York City,2020-03-13,13.1,8.9,20.6,7.4,0.0,224.0,21.2,NULL,1012.0,NULL
New York City,2020-03-14,10.1,7.0,15.0,0.0,0.0,305.0,21.2,NULL,1025.2,NULL
New York City,2020-03-15,9.1,6.7,13.9,0.0,0.0,5.0,8.7,NULL,1030.5,NULL
New York City,2020-03-16,5.2,1.7,7.8,0.0,0.0,65.0,17.9,NULL,1034.6,NULL
New York City,2020-03-17,8.3,5.6,11.7,5.6,0.0,203.0,10.4,NULL,1023.2,NULL
New York City,2020-03-18,8.8,6.1,12.2,0.0,0.0,162.0,8.3,NULL,1030.6,NULL
New York City,2020-03-19,8.3,6.1,10.6,28.4,0.0,34.0,14.3,NULL,1024.8,NULL
New York City,2020-03-20,13.6,8.3,22.8,0.0,0.0,268.0,9.4,NULL,1014.8,NULL
New York City,2020-03-21,10.6,6.7,18.9,0.0,0.0,348.0,10.2,NULL,1024.1,NULL
New York City,2020-03-22,5.0,2.2,8.3,0.0,0.0,58.0,19.6,NULL,1036.7,NULL
