depdelay,arrdelay,scheduleddepartdatetime,origin,dest,uniquecarrier,marketshareorigin,marketsharedest,hhiorigin,hhidest,nonhubairportorigin,smallhubairportorigin,mediumhubairportorigin,largehubairportorigin,nonhubairportdest,smallhubairportdest,mediumhubairportdest,largehubairportdest,nonhubairlineorigin,smallhubairlineorigin,mediumhubairlineorigin,largehubairlineorigin,nonhubairlinedest,smallhubairlinedest,mediumhubairlinedest,largehubairlinedest,year,month,dayofmonth,dayofweek,scheduledhour,originairportid,destairportid,tailnum,capacity,loadfactor,numflights,origincityname,originstate,distance,monopolyroute,temperature,temp_ninfty_n10,temp_n10_0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_40_infty,windspeed,windspeedsquare,windgustdummy,windgustspeed,raindummy,raintracedummy,snowdummy,snowtracedummy,originmetropop,originmetrogdppercapita,destmetropop,destmetrogdppercapita
0,-4,08-Jan-2004 15:25:00,ELP,SAT,WN,.61846691,.40756691,.41708991,.22687793,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2004,1,8,4,15,11540,14683,N686,2,.46060732,19.579,"El Paso, TX",TX,496,1,15.34,0,0,0,1,0,0,0,10.3,106.09,0,0,0,0,0,0,702433,27314.633,1843927,35005.234
-4,11,22-Jan-2004 14:40:00,ATL,MSY,DL,.5007568,.096321069,.31958899,.19665706,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2004,1,22,4,14,10397,13495,N110DL,2,.61790389,19.548,"Atlanta, GA",GA,425,0,11.5,0,0,0,1,0,0,0,13.6666666666667,186.777777777778,0,0,0,0,0,0,4802300,49081.773,1314721,48848.234
3,12,29-Jan-2004 12:25:00,DFW,JFK,DL,.060897764,.13196179,.29612559,.21435742,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,29,4,12,11298,12478,N933DL,142,.45592913,19.545,"Dallas/Fort Worth, TX",TX,1391,0,12.2188679245283,0,0,0,1,0,0,0,13.5283018867925,183.014951940192,0,0,0,0,0,0,5689982,50588.563,18747431,57295.402
-3,24,14-Jan-2004 15:55:00,SEA,EWR,CO,.040521659,.34774423,.23471189,.24937698,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2004,1,14,3,15,14747,11618,N18243,149,.53431374,19.261,"Seattle, WA",WA,2401,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3163703,57755.547,18747431,57295.402
0,-8,14-Jan-2004 18:40:00,SLC,RNO,OO,.5068993,.17649296,.34176266,.27736381,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2004,1,14,3,18,14869,14570,N443SW,55,.74212521,19.261,"Salt Lake City, UT",UT,422,0,-11.4666666666667,1,0,0,0,0,0,0,7.66666666666667,58.7777777777778,0,0,0,0,0,0,1030597,45043.602,385049,49079.727
-1,-2,21-Jan-2004 20:00:00,ATL,DAY,DL,.5007568,.16485226,.31958899,.14394036,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2004,1,21,3,20,10397,11267,N999DN,142,.7723819,19.254999,"Atlanta, GA",GA,432,0,5.97166666666667,0,0,1,0,0,0,0,7.76666666666667,60.3211111111111,0,0,0,0,0,0,4802300,49081.773,845594,39588.855
0,-4,22-Jan-2004 12:30:00,ATL,CAK,OH,.089014381,.51129943,.31958899,.4202536,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2004,1,22,4,12,10397,10874,N924CA,55,.77664191,19.548,"Atlanta, GA",GA,528,0,9.15,0,0,1,0,0,0,0,13,169,0,0,0,0,0,0,4802300,49081.773,700587,36796.859
-7,5,22-Jan-2004 09:45:00,CVG,DTW,NW,.0040692342,.75389147,.38632977,.5751099,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,22,4,9,11193,11433,N8908E,85,.18310727,19.548,"Cincinnati, OH",KY,229,0,-3.025,0,1,0,0,0,0,0,16.5,272.25,0,0,0,0,0,0,2083905,43024.18,4498311,45493.832
0,2,18-Jan-2004 14:00:00,OAK,LAX,WN,.61066067,.17102595,.39643505,.1367489,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2004,1,18,7,14,13796,12892,N710,6,.57812691,18.440001,"Oakland, CA",CA,337,0,12.8833333333333,0,0,0,1,0,0,0,13.2333333333333,175.121111111111,0,0,0,0,0,0,4143522,64955.418,12764590,49943.961
-7,1,31-Jan-2004 21:00:00,DEN,MSP,UA,.56168371,.048554059,.36196595,.59046286,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2004,1,31,6,21,11292,13487,N854UA,179,.66597587,16.697001,"Denver, CO",CO,680,0,-4.4,0,1,0,0,0,0,0,0.7,0.49,0,0,0,0,1,0,2321712,52610.918,3106569,55211.586
